COMPLETEPAPER-67_Q	Evidencing the crude oil corrosion by Raman spectroscopy
COMPLETEPAPER-3334072_Q	The Role of Microorganisms in a Planktonic Food Web of a Floodplain Lake
COMPLETEPAPER-3334858_Q	Is Small Beautiful? Testing the Direct and Nonlinear Effects of Size on Municipal Performance
COMPLETEPAPER-3337741_Q	Polymer-coated palladium nanoparticle catalysts for Suzuki coupling reactions
COMPLETEPAPER-3347715_Q	Amblyomma americanum tick calreticulin binds C1q but does not inhibit activation of the classical complement cascade
COMPLETEPAPER-3357572_Q	Method development by GC&#45;ECD and HS-SPME&#45;GC&#45;MS for beer volatile analysis
COMPLETEPAPER-3383059_Q	Potential Vegetable Sources for Biodiesel Production: Cashew
COMPLETEPAPER-3383060_Q	Purification of Glycerol from Biodiesel Production by Sequential Extraction Monitored by 1H NMR
COMPLETEPAPER-3384384_Q	Effect of vegetal-oil emulsion and passion fruit peel-powder on sensory acceptance of functional yoghurt
COMPLETEPAPER-3392679_Q	Litopenaeus vannamei muscle carotenoids versus astaxanthin: A comparison of antioxidant activity and in vitro protective effects against lipid peroxidation
COMPLETEPAPER-3402437_Q	Enhanced diesel fuel fraction from waste high-density polyethylene and heavy gas oil pyrolysis using factorial design methodology
COMPLETEPAPER-3404491_Q	Estimates of genetic parameters with selection within and between half-sib families of Jatropha curcas L
COMPLETEPAPER-3405451_Q	Intranasal Vaccination with Leishmanial Antigens Protects Golden Hamsters (Mesocricetus auratus) Against Leishmania (Viannia) braziliensis Infection
COMPLETEPAPER-3410351_Q	Enhanced photoelectrocatalytic degradation of an acid dye with boron-doped TiO2 nanotube anodes
COMPLETEPAPER-3413313_Q	Rapid hydrothermal synthesis and pH-dependent photocatalysis of strontium titanate microspheres
COMPLETEPAPER-3413315_Q	Production of heterostructured TiO2/WO3 Nanoparticulated photocatalysts through a simple one pot method
COMPLETEPAPER-3414965_Q	Determination of &#946;-caryophyllene skin permeation/retention from crude copaiba oil (Copaifera multijuga Hayne) and respective oil-based nanoemulsion using a novel HS-GC/MS method
COMPLETEPAPER-3416430_Q	Prognostic evaluation of severe sepsis and septic shock: Procalcitonin clearance vs - Sequential Organ Failure Assessment
COMPLETEPAPER-3429388_Q	Detrital zircon ages and Nd isotope compositions of the Serido and Lavras da Mangabeira basins (Borborema Province
COMPLETEPAPER-3437506_Q	Accuracy of the Alberta Infant Motor Scale (AIMS) to detect developmental delay of gross motor skills in preterm infants: A systematic review
COMPLETEPAPER-3444144_Q	Carbon and nitrogen in a Ferralsol under zero-tillage rotations based on cover
COMPLETEPAPER-3449691_Q	Single precursor route to efficient cobalt sulphide counter electrodes for dye sensitized solar cells
COMPLETEPAPER-3451884_Q	Evidence of sewage input to inner shelf sediments in the NE coast of Brazil obtained by molecular markers distribution
COMPLETEPAPER-3451885_Q	Urban rivers as conveyors of hydrocarbons to sediments of estuarine areas: Source characterization
COMPLETEPAPER-3451886_Q	Source and distribution of organic matter in sediments in the SE Brazilian continental shelf influenced by river discharges: An approach using stable isotopes and molecular markers
COMPLETEPAPER-3454003_Q	The Involvement of TLR2 and TLR4 in Cytokine and Nitric Oxide Production in Visceral Leishmaniasis Patients before and after Treatment with Anti-Leishmanial Drugs
COMPLETEPAPER-3464975_Q	Anthocyanin and other phenolic compounds in Ceylon gooseberry (Dovyalis hebecarpa) fruits
COMPLETEPAPER-3465831_Q	Theoretical thermal study of wire-plate mini heat pipes
COMPLETEPAPER-3466336_Q	Gold nanoparticles supported on modified red mud for biphasic oxidation of sulfur compounds: A synergistic effect
COMPLETEPAPER-3473687_Q	Classifying and classified: An interpretive study of the consumption of cruises by the 'New' Brazilian Middle Class
COMPLETEPAPER-3484225_Q	IMPROVEMENT OF MECHANICAL PROPERTIES OF NATURAL FIBER-POLYPROPYLENE COMPOSITES USING SUCCESSIVE ALKALINE TREATMENTS
COMPLETEPAPER-3499109_Q	Point-charge self-energy in Lee-Wick theories
COMPLETEPAPER-3518029_Q	Societal problems and industry reorientation: Elaborating the Dialectic Issue LifeCycle (DILC) model and a case study of car safety in the USA (1900-1995)
COMPLETEPAPER-3523168_Q	Analytical solution and experimental validation of a model for hydration of soybeans with variable mass transfer coefficient
COMPLETEPAPER-3528265_Q	The effect of Sr2+ on the structure and magnetic properties of nanocrystalline cobalt ferrite
COMPLETEPAPER-3532936_Q	Mercury-induced dysfunctions in multiple organelles leading to cell death
COMPLETEPAPER-3536200_Q	Ghost stochastic resonance induced by a power-law distributed noise in the FitzHugh Nagumo neuron model
COMPLETEPAPER-3537323_Q	Heuristics and matheuristics for a real-life machine reassignment problem
COMPLETEPAPER-3556795_Q	D-Glucans from edible mushrooms: a review on the extraction
COMPLETEPAPER-3593978_Q	Studies on electrodeposition and characterization of the Ni&#45;W&#45;Fe alloys coatings
COMPLETEPAPER-3596318_Q	Formulation and characterization of functional foods based on fruit and vegetable residue flour
COMPLETEPAPER-3608510_Q	Physical Forcing Mechanisms Controlling the Variability of Chlorophyll-<I>a</I> over the Royal-Charlotte and Abrolhos Banks   Eastern Brazilian Shelf
COMPLETEPAPER-3617698_Q	Reactive adsorption of pharmaceuticals on tin oxide pillared montmorillonite: Effect of visible light exposure
COMPLETEPAPER-3628353_Q	IL-27 enhances Leishmania amazonensis infection via ds-RNA dependent kinase (PKR) and IL-10 signaling
COMPLETEPAPER-3634135_Q	Designing a framework for addressing bycatch problems in Brazilian small-scale trawl fisheries
COMPLETEPAPER-3647700_Q	Effects of acetylation and acetylation&#45;hydroxypropylation (dual-modification) on the properties of starch from Carioca bean (Phaseolus vulgaris L
COMPLETEPAPER-3652411_Q	Anthelmintic activity of eugenol in tambaquis with monogenean gill infection
COMPLETEPAPER-3653819_Q	First report of Perkinsus beihaiensis in wild clams Anomalocardia brasiliana (Bivalvia: Veneridae) in Brazil
COMPLETEPAPER-3654925_Q	Seasonal changes in metabolic rates of two tropical lakes in the Atlantic Forest of Brazil
COMPLETEPAPER-3657148_Q	Both Food Restriction and High-Fat Diet during Gestation Induce Low Birth Weight and Altered Physical Activity in Adult Rat Offspring: The -Similarities in the Inequalities- Model
COMPLETEPAPER-3657231_Q	Development of a chimeric hemicellulase to enhance the xylose production and thermotolerance
COMPLETEPAPER-3657369_Q	A Structural Approach to the HAZOP - Hazard and Operability Technique in the Biopharmaceutical Industry
COMPLETEPAPER-3665057_Q	Determining the adhesion force between particles and rough surfaces
COMPLETEPAPER-3670699_Q	Removal of excess fluoride from groundwater using natural coagulant <i>Moringa oleifera</i> Lam and microfiltration
COMPLETEPAPER-3681153_Q	The impact of surgical resection of giant supratentorial brain tumor in pediatric patients: safety and neurological outcome evaluated in 23 consecutive cases
COMPLETEPAPER-3690400_Q	Theoretical investigations on magnetocaloric effect in Er1&#8722;yTbyAl2 series
COMPLETEPAPER-3695247_Q	Pain threshold and sleep quality in women with endometriosis
COMPLETEPAPER-3703312_Q	Solid-state dealumination of zeolites for use as catalysts in alcohol dehydration
COMPLETEPAPER-3704980_Q	Intraspecific variation of cuticular hydrocarbon profiles in the (Diptera: Tephritidae) species complex
COMPLETEPAPER-3709811_Q	An autonomic bio-inspired algorithm for wireless sensor network self-organization and efficient routing
COMPLETEPAPER-3711635_Q	Galilean DKP theory and Bose-Einstein condensation
COMPLETEPAPER-3725130_Q	Investment planning in the petroleum downstream infrastructure
COMPLETEPAPER-3750880_Q	Magnetic couplings in CoFe2O4/FeCo-FeO core-shell nanoparticles
COMPLETEPAPER-3753250_Q	Aptamer-Based Detection of Disease Biomarkers in Mouse Models for Chagas Drug Discovery
COMPLETEPAPER-3755537_Q	Provenance of sands from the confluence of the Amazon and Madeira rivers based on detrital heavy minerals and luminescence of quartz and feldspar
COMPLETEPAPER-3755818_Q	Direct dry transfer of chemical vapor deposition graphene to polymeric substrates
COMPLETEPAPER-3758270_Q	Application of a check-all-that-apply question for evaluating and characterizing meat products
COMPLETEPAPER-3758271_Q	Comparison of Warner-Bratzler shear force values between round and square cross-section cores from cooked beef and pork Longissimus muscle
COMPLETEPAPER-3762121_Q	Changes in sorption of indaziflam and three transformation products in soil with aging
COMPLETEPAPER-3766225_Q	Probiotic clarified apple juice with oligofructose or sucralose as sugar substitutes: Sensory profile and acceptability
COMPLETEPAPER-3771211_Q	Quality and occurrence of deoxynivalenol and fumonisins in craft beer
COMPLETEPAPER-3775965_Q	Expansion planning problem in distribution systems with reliability evaluation: An application in real network using georeferenced database
COMPLETEPAPER-3777700_Q	Synergic effects of ultrasound and laser on the pain relief in women with hand osteoarthritis
COMPLETEPAPER-3782198_Q	Mossbauer study of the effect of pH on Fe valence in iron-polygalacturonate as a medicine for human anaemia
COMPLETEPAPER-3786940_Q	The C-terminal region of the human p23 chaperone modulates its structure and function
COMPLETEPAPER-3786941_Q	Cooperative substrate binding by a diguanylate cyclase
SPECIFIC_CHAPTER-3786999_Q	Specification of Hsp70 Function by Type I and Type II Hsp40
COMPLETEPAPER-3790481_Q	Pattern formation and Turing instability in an activator-inhibitor system with power-law coupling
COMPLETEPAPER-3792232_Q	Experimental and theoretical analysis of an aluminum foam enhanced phase change thermal storage unit
COMPLETEPAPER-3802286_Q	Mesh size effects on assessments of planktonic hydrozoan abundance and assemblage structure
COMPLETEPAPER-3804738_Q	Performance analysis of a CCGT power plant integrated to a LNG regasification process
COMPLETEPAPER-3807996_Q	Spatial and temporal variability of carbon dioxide and methane fluxes over semi-diurnal and spring-neap-spring timescales in a mangrove creek
COMPLETEPAPER-3823696_Q	Amazon acai: Chemistry and biological activities: A review
COMPLETEPAPER-3824318_Q	Influence of CAD/CAM on the fit accuracy of implant-supported zirconia and cobalt-chromium fixed dental prostheses
COMPLETEPAPER-3838078_Q	Structural characterization of a rhamnogalacturonan I-arabinan-type I arabinogalactan macromolecule from starfruit (Averrhoa carambola L
COMPLETEPAPER-3838079_Q	Leishmanicidal activity of polysaccharides and their oxovanadium(IV/V) complexes
COMPLETEPAPER-3838080_Q	Structure of an arabinogalactan from the edible tropical fruit tamarillo (Solanum betaceum) and its antinociceptive activity
COMPLETEPAPER-3853875_Q	Magnetic ferrites synthesised using the microwave-hydrothermal method
COMPLETEPAPER-3857919_Q	Disease-related knowledge in cardiac rehabilitation enrollees: Correlates and changes
COMPLETEPAPER-3858254_Q	Effects of trophic exposure to dexamethasone and diclofenac in freshwater fish
COMPLETEPAPER-3866231_Q	Cellulosic fiber reinforced cement-based composites: A review of recent research
COMPLETEPAPER-3870093_Q	Metallogenesis of the Paleoproterozoic Piaba orogenic gold deposit
COMPLETEPAPER-3876119_Q	Influence of the initial cooling temperature on the gelation and yield stress of waxy crude oils
COMPLETEPAPER-3878327_Q	Synthesis of soybean oil-based polymer lattices via emulsion polymerization process
COMPLETEPAPER-3879865_Q	Simplified model to estimate uncertainty in CMM
COMPLETEPAPER-3879867_Q	Effect of surface topography on the dynamics of the abrasive particles during micro-abrasion
COMPLETEPAPER-3891532_Q	All solid-state electrochromic device consisting of a water soluble viologen dissolved in gelatin-based ionogel
COMPLETEPAPER-3900387_Q	Effect of water content on the acid-base equilibrium of Cyanidin-3-Glucoside
COMPLETEPAPER-3904584_Q	Satellite-based automated burned area detection: A performance assessment of the MODIS MCD45A1 in the Brazilian savanna
COMPLETEPAPER-3904585_Q	Principal component analysis applied to a time series of MODIS images: the spatio-temporal variability of the Pantanal wetland
COMPLETEPAPER-3918408_Q	Biochar decreases dissolved organic carbon but not nitrate leaching in relation to vinasse application in a Brazilian sugarcane soil
COMPLETEPAPER-3922123_Q	Anther wall and pollen development in Neotropical species-rich Miconia (Melastomataceae)
COMPLETEPAPER-3923049_Q	Consistent thermodynamic framework for interacting particles by neglecting thermal noise
COMPLETEPAPER-3923751_Q	Influence of laser photobiomodulation (GaAlAs) on salivary flow rate and histomorphometry of the submandibular glands of hypothyroid rats
COMPLETEPAPER-3928823_Q	Combined MFA and LCA approach to evaluate the metabolism of service polygons: A case study on a university campus
COMPLETEPAPER-3932155_Q	Soil genotoxicity assessment results of an interlaboratory study on the Vicia micronucleus assay in the context of ISO standardization
COMPLETEPAPER-3932156_Q	Is acetylcholinesterase a biomarker of susceptibility in Daphnia magna (Crustacea
COMPLETEPAPER-3936592_Q	Secondary voltage control system based on fuzzy logic
COMPLETEPAPER-3937120_Q	Kinetic study of thermal and catalytic pyrolysis of Brazilian heavy crude oil over mesoporous Al-MCM-41 materials
COMPLETEPAPER-3937525_Q	Formation energy of graphene oxide structures: A molecular dynamics study on distortion and thermal effects
COMPLETEPAPER-3944854_Q	Oxide incorporation into Ni-based solid oxide fuel cell anodes for enhanced sulfur tolerance during operation on hydrogen or biogas fuels: A comprehensive thermodynamic study
